Sample2,Sample1,Sample3
f,u,)
i,s,f
c,a,i
 ,n,c
t,., 
z, ,t
i,i,i
x,u,x
m,s, 
i,v,t
 ,i,s
o,q,i
s, ,o
i,a,z
 ,s, 
t,q,p
o,v,o
l,t,v
a,o, 
k, ,v
 ,n,t
s,e,i
e,s,m
a,a, 
z,d,o
 ,o,j
f,f,v
p, , 
i,v,v
f,o,j
i, ,h
c,o,e
 ,d,a
a,m,j
t,e,v
 ,f, 
o, ,e
s,o,a
i,u,z
 ,m, 
z,:,f
o, ,p
j,f,i
v,m,(
 ,a,o
p, ,v
o,o,o
j,j,m
x,v,a
 ,z,t
t,s,c
o,a,a
l,m, 
a,h,o
k,",",s
 , ,i
s,o, 
e,v,e
a,i,a
z,s,z
 ,o, 
v,q,f
i,t,m
t,o,a
j,f,","
h, , 
e,o,v
i,n,a
m,a,p
 ,t, 
a, ,o
j,s,s
x,a,i
 ,g, 
o, ,e
p,v,a
a,p,z
 ,o,z
z,f,m
m,s,a
p,i,q
a, ,a
 ,p,p
o,o,a
j,s,n
v,f, 
 ,m,o
n,u,l
',j,u
u,d,m
 , , 
f,a,t
p,v,u
i,v, 
t,t,o
o,o,g
n,b,u
a, ,m
d,j,
 ,h,v
s,u,y
o,j,o
w, ,p
o,j, 
p,d,o
 ,e,j
v,t,v
u, , 
 ,j,o
t,v,c
t,u, 
o,x,v
d, ,j
d,m,h
e,m,u
t,o,n
 ,v, 
v, ,e
e,v,a
c,a,z
t,p, 
t, ,f
o,f,p
d,m,i
d,e,
e,a,f
t,x,o
 , ,v
s,e,p
a,a,o
g,z,w
 , ,p
f,f,u
o,p, 
t,o,t
t,u,i
o,s,x
s,g, 
f,",",o
 , ,s
t,z,e
i,n,v
x,,e
 ,,g
u,, 
,,o
,,j
,,v
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
